FileName,Duration(ms),ResultCount,Exception
query1.sql,14140.595100,0,EXCEPTION
query10.sql,12908.973400,0,EXCEPTION
query1.sql,14082.564000,0,EXCEPTION
query10.sql,16256.399500,0,EXCEPTION
query1.sql,3766.105700,0,EXCEPTION
query10.sql,1188.762200,0,EXCEPTION
query11.sql,2304.170500,0,EXCEPTION
query12.sql,1185.968300,0,EXCEPTION
query13.sql,2266.122700,0,EXCEPTION
query14.sql,158.437100,0,EXCEPTION
query15.sql,1510.797000,0,EXCEPTION
query16.sql,1501.079000,0,EXCEPTION
query17.sql,2999.363500,0,EXCEPTION
query18.sql,2622.036400,0,EXCEPTION
query19.sql,2245.669500,0,EXCEPTION
query1.sql,1646.042700,0,EXCEPTION
query10.sql,1158.390900,0,EXCEPTION
query11.sql,2260.901900,0,EXCEPTION
query12.sql,1151.413200,0,EXCEPTION
query13.sql,2247.636900,0,EXCEPTION
query14.sql,144.754000,0,EXCEPTION
query15.sql,1496.510500,0,EXCEPTION
query16.sql,1502.312800,0,EXCEPTION
query17.sql,2988.823000,0,EXCEPTION
query18.sql,2616.309900,0,EXCEPTION
query19.sql,2244.101800,0,EXCEPTION
query2.sql,1924.114400,0,EXCEPTION
query20.sql,1125.578700,0,EXCEPTION
query21.sql,1501.137800,0,EXCEPTION
query22.sql,1493.708300,0,EXCEPTION
query23.sql,13.568900,0,EXCEPTION
query24.sql,2.636000,0,EXCEPTION
query25.sql,2988.901600,0,EXCEPTION
query1.sql,1632.882600,0,EXCEPTION
query10.sql,1153.985900,0,EXCEPTION
query1.sql,24141.828100,100,
query10.sql,28085.576500,3,
query11.sql,41180.365200,0,EXCEPTION
query1.sql,31494.532900,100,
query1.sql,34955.105400,100,
query10.sql,10673.292200,0,EXCEPTION
